EPOCH,no aug,Type 1,Type 5,Type 7
0,2.33E-05,5.29E-05,2.07E-05,5.26E-05
1,2.29E-05,2.06E-05,5.04E-05,2.91E-05
2,5.18E-05,0.00013017,7.04E-05,0.00010995
3,4.93E-05,9.18E-05,3.89E-05,9.66E-05
4,2.11E-05,0.00037787,0.00033021,3.12E-05
5,2.04E-05,0.00052823,0.00071577,6.34E-05
6,0.00013205,0.0014855,0.0011549,0.0004351
7,0.00025875,0.00065816,0.0012411,0.00024308
8,0.00020666,0.00046849,0.0017431,0.001231
9,0.00052574,0.00033951,0.0021864,0.0022958
10,0.00070306,0.00035825,0.0042802,0.0014117
11,0.00070188,0.00078846,0.0023198,0.0010248
12,0.0016036,0.0009545,0.0009291,0.0011587
13,0.00085621,0.0023467,0.00077027,0.0015361
14,0.00091705,0.0027305,0.0012335,0.0015535
15,0.0034951,0.0041457,0.0021799,0.0017918
16,0.00053814,0.0077254,0.0035305,0.0021331
17,0.0050347,0.005369,0.0055766,0.0024355
18,0.00059956,0.0035673,0.011958,0.0013847
19,0.01025,0.0055976,0.0017129,0.0023656
20,0.00078257,0.0027758,0.0016995,0.00097999
21,0.0032951,0.0087966,0.0033832,0.0008667
22,0.001984,0.0048775,0.0062278,0.0039834
23,0.0025582,0.006819,0.0024904,0.0027654
24,0.0031227,0.0046924,0.0036381,0.0084325
25,0.0044048,0.0021869,0.0091433,0.044144
26,0.0018554,0.0077423,0.0085267,0.0083114
27,0.0098561,0.0023306,0.044254,0.041346
28,0.0047635,0.072005,0.0092623,0.0049249
29,0.010046,0.0058299,0.025562,0.025853
30,0.0048197,0.011573,0.0051233,0.0067279
31,0.0060588,0.0084743,0.031726,0.049248
32,0.0063966,0.0085426,0.016254,0.0088071
33,0.016596,0.0092461,0.0099972,0.054971
34,0.019222,0.011022,0.036951,0.012624
35,0.026252,0.031903,0.010787,0.057906
36,0.0091746,0.028153,0.028281,0.0070225
37,0.0079098,0.010573,0.025251,0.037672
38,0.015376,0.008151,0.017067,0.019367
39,0.0071697,0.033579,0.029763,0.057365
40,0.0061286,0.023414,0.034252,0.094211
41,0.0067776,0.014639,0.086187,0.036568
42,0.011884,0.032059,0.037669,0.042217
43,0.0031501,0.021886,0.034271,0.062866
44,0.0047654,0.024424,0.023091,0.017618
45,0.0088638,0.016146,0.055958,0.11477
46,0.015819,0.014282,0.031967,0.082433
47,0.011572,0.01626,0.077394,0.084971
48,0.018425,0.01778,0.047666,0.063118
49,0.014429,0.036634,0.018752,0.1545
50,0.019727,0.034935,0.062369,0.027734
51,0.024987,0.050778,0.023627,0.07678
52,0.018405,0.031889,0.045927,0.061986
53,0.020814,0.03357,0.042376,0.057012
54,0.01437,0.019637,0.063777,0.060774
55,0.037539,0.049851,0.040981,0.046351
56,0.037171,0.034012,0.070295,0.057567
57,0.033688,0.042072,0.049981,0.062244
58,0.029688,0.026879,0.076685,0.085252
59,0.039039,0.054297,0.047352,0.064128
60,0.035247,0.072985,0.090984,0.035493
61,0.032793,0.097041,0.064896,0.079959
62,0.028046,0.052149,0.084255,0.042598
63,0.031642,0.095314,0.078674,0.081283
64,0.044984,0.048314,0.06387,0.048889
65,0.038008,0.07081,0.072394,0.068082
66,0.031388,0.051421,0.071254,0.078076
67,0.029631,0.050296,0.075664,0.12506
68,0.041136,0.039009,0.098912,0.13683
69,0.039824,0.030129,0.073852,0.12403
70,0.055173,0.037168,0.089475,0.23003
71,0.047284,0.032645,0.092144,0.075752
72,0.053221,0.046965,0.11133,0.16101
73,0.043511,0.037465,0.065481,0.11133
74,0.037084,0.036866,0.094197,0.12574
75,0.035177,0.048775,0.094961,0.10451
76,0.026168,0.074467,0.091922,0.1287
77,0.022989,0.061367,0.15196,0.12202
78,0.022051,0.062608,0.086417,0.12316
79,0.018855,0.054088,0.1755,0.066381
80,0.029315,0.075082,0.070983,0.085591
81,0.026007,0.080121,0.12598,0.067864
82,0.028257,0.082416,0.084644,0.12432
83,0.022175,0.072687,0.16391,0.06567
84,0.019521,0.10035,0.064854,0.11287
85,0.01903,0.056022,0.16225,0.18217
86,0.019701,0.080431,0.11303,0.13313
87,0.021982,0.065151,0.18616,0.1162
88,0.025343,0.066005,0.11485,0.10406
89,0.02096,0.054509,0.19104,0.11838
90,0.027257,0.069097,0.11402,0.07938
91,0.02427,0.067613,0.1854,0.11199
92,0.02796,0.10462,0.1198,0.1012
93,0.018768,0.098184,0.17366,0.090284
94,0.025292,0.11636,0.16745,0.083958
95,0.027342,0.087962,0.18307,0.10822
96,0.019051,0.096195,0.13943,0.058019
97,0.016071,0.079662,0.16759,0.12204
98,0.017441,0.090107,0.15669,0.062841
99,0.021793,0.12514,0.15147,0.10036
100,0.020362,0.11438,0.1972,0.061753
101,0.020767,0.07859,0.12211,0.077661
102,0.031344,0.081287,0.19906,0.065874
103,0.02107,0.04868,0.13848,0.055363
104,0.019404,0.05066,0.1615,0.064317
105,0.016215,0.050306,0.095559,0.054921
106,0.02216,0.064819,0.21175,0.065359
107,0.020118,0.049858,0.07988,0.082549
108,0.022046,0.08402,0.16389,0.10813
109,0.021414,0.070395,0.11166,0.06088
110,0.021341,0.095413,0.10115,0.067817
111,0.023793,0.087637,0.13169,0.051472
112,0.031367,0.13093,0.13596,0.068479
113,0.028584,0.13241,0.18488,0.051466
114,0.02644,0.096312,0.12717,0.065754
115,0.0282,0.17568,0.20114,0.082152
116,0.03052,0.12737,0.18479,0.064022
117,0.022354,0.17403,0.13309,0.052135
118,0.025502,0.21355,0.19956,0.060659
119,0.026387,0.14288,0.13335,0.07554
120,0.019369,0.15725,0.20475,0.074515
121,0.020471,0.1044,0.11958,0.082204
122,0.016761,0.16595,0.14111,0.070263
123,0.018651,0.094219,0.12353,0.074049
124,0.023168,0.14473,0.14202,0.058525
125,0.026437,0.11386,0.15089,0.093557
126,0.02285,0.13872,0.11482,0.071242
127,0.022291,0.10157,0.16162,0.11561
