               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13275,            0.019663,                   0,          0.00033333,                 0.1,          0.00023266,          2.3266e-05,             0.13283,             0.01772,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12467,            0.019618,                   0,          0.00033333,                 0.1,          0.00022922,          2.2922e-05,             0.13118,            0.017311,                   0,            0.097299,           0.0002991,           0.0002991
                   2,             0.12292,            0.019597,                   0,          0.00066667,                 0.2,          0.00051762,          5.1762e-05,             0.12802,            0.016855,                   0,            0.095497,            0.000497,            0.000497
                   3,              0.1124,            0.019654,                   0,          0.00066667,                 0.2,          0.00049311,          4.9311e-05,             0.12599,             0.01674,                   0,            0.093694,           0.0006937,           0.0006937
                   4,             0.09298,            0.019301,                   0,          0.00033333,                 0.1,          0.00021145,          2.1145e-05,             0.12356,            0.016713,                   0,            0.091889,           0.0008892,           0.0008892
                   5,             0.11357,            0.018906,                   0,          0.00033333,                 0.1,          0.00020355,          2.0355e-05,             0.11398,            0.016537,                   0,            0.090084,           0.0010835,           0.0010835
                   6,            0.090209,            0.020068,                   0,          0.00066667,                 0.2,          0.00058141,          0.00013205,             0.10475,              0.0165,                   0,            0.088277,           0.0012766,           0.0012766
                   7,            0.090597,            0.019262,                   0,          0.00066667,                 0.2,          0.00055836,          0.00025875,            0.099338,            0.016262,                   0,            0.086469,           0.0014685,           0.0014685
                   8,            0.075476,            0.019422,                   0,          0.00066667,                 0.2,          0.00060884,          0.00020666,            0.096126,            0.015944,                   0,            0.084659,           0.0016592,           0.0016592
                   9,            0.069099,            0.018388,                   0,               0.001,                 0.3,           0.0043592,          0.00052574,            0.095724,            0.015384,                   0,            0.082849,           0.0018487,           0.0018487
                  10,            0.070918,            0.018631,                   0,               0.001,                 0.3,           0.0054919,          0.00070306,            0.093244,             0.01498,                   0,            0.081037,            0.002037,            0.002037
                  11,            0.070274,            0.018052,                   0,               0.001,                 0.3,           0.0048635,          0.00070188,            0.091015,            0.014688,                   0,            0.079224,           0.0022241,           0.0022241
                  12,            0.056343,             0.01759,                   0,           0.0013333,                 0.4,            0.013154,           0.0016036,            0.089466,            0.014301,                   0,             0.07741,             0.00241,             0.00241
                  13,            0.065095,            0.017139,                   0,               0.001,                 0.3,           0.0064407,          0.00085621,            0.088343,            0.014015,                   0,            0.075595,           0.0025947,           0.0025947
                  14,            0.061368,            0.016765,                   0,               0.001,                 0.3,           0.0070137,          0.00091705,            0.087714,            0.013612,                   0,            0.073778,           0.0027782,           0.0027782
                  15,            0.059678,            0.017864,                   0,           0.0016667,                 0.5,            0.033685,           0.0034951,            0.086599,            0.013486,                   0,            0.071961,           0.0029605,           0.0029605
                  16,            0.052157,            0.016895,                   0,               0.001,                 0.3,           0.0030706,          0.00053814,             0.08616,            0.013185,                   0,            0.070142,           0.0031416,           0.0031416
                  17,            0.050596,            0.015043,                   0,               0.001,                 0.3,            0.021236,           0.0050347,            0.084755,            0.013083,                   0,            0.068322,           0.0033215,           0.0033215
                  18,            0.057434,            0.016096,                   0,               0.002,                 0.6,           0.0023745,          0.00059956,            0.082308,            0.012956,                   0,              0.0665,           0.0035002,           0.0035002
                  19,             0.05054,            0.016603,                   0,           0.0023333,                 0.7,            0.038681,             0.01025,            0.081328,            0.012994,                   0,            0.064678,           0.0036777,           0.0036777
                  20,            0.054744,            0.016992,                   0,           0.0026667,                 0.8,           0.0042743,          0.00078257,            0.080905,            0.012634,                   0,            0.062854,            0.003854,            0.003854
                  21,            0.049112,            0.014764,                   0,               0.002,                 0.6,            0.024501,           0.0032951,            0.082059,            0.012546,                   0,            0.061029,           0.0040291,           0.0040291
                  22,            0.047812,            0.017436,                   0,           0.0026667,                 0.8,           0.0088832,            0.001984,            0.080156,            0.012393,                   0,            0.059203,            0.004203,            0.004203
                  23,            0.045832,            0.014765,                   0,           0.0016667,                 0.5,            0.018094,           0.0025582,            0.079268,            0.012275,                   0,            0.057376,           0.0043757,           0.0043757
                  24,            0.055607,              0.0139,                   0,               0.002,                 0.6,            0.010987,           0.0031227,            0.079223,            0.011926,                   0,            0.055547,           0.0045472,           0.0045472
                  25,            0.040696,            0.015184,                   0,               0.002,                 0.6,             0.01247,           0.0044048,            0.077908,            0.012074,                   0,            0.053718,           0.0047175,           0.0047175
                  26,            0.043372,            0.015576,                   0,           0.0016667,                 0.5,           0.0067839,           0.0018554,            0.081792,            0.011371,                   0,            0.051887,           0.0048866,           0.0048866
                  27,            0.046722,            0.014335,                   0,               0.002,                 0.6,            0.044548,           0.0098561,            0.077014,            0.011817,                   0,            0.050055,           0.0050545,           0.0050545
                  28,            0.045664,            0.013454,                   0,               0.002,                 0.6,            0.012457,           0.0047635,            0.080031,            0.011329,                   0,            0.048221,           0.0052212,           0.0052212
                  29,             0.04094,            0.014314,                   0,           0.0026667,                 0.8,            0.030659,            0.010046,            0.077694,            0.011532,                   0,            0.046387,           0.0053867,           0.0053867
                  30,            0.043703,            0.013745,                   0,           0.0023333,                 0.7,            0.026827,           0.0048197,            0.078772,            0.011225,                   0,            0.044551,            0.005551,            0.005551
                  31,            0.045938,            0.014469,                   0,               0.003,                 0.9,            0.021661,           0.0060588,            0.081681,            0.010837,                   0,            0.042714,           0.0057141,           0.0057141
