               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13275,            0.019663,                   0,          0.00033333,                 0.1,          0.00023266,          2.3266e-05,             0.13283,             0.01772,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12469,            0.019616,                   0,          0.00033333,                 0.1,          0.00022828,          2.2828e-05,             0.13119,            0.017314,                   0,            0.097297,           0.0002973,           0.0002973
                   2,              0.1229,            0.019601,                   0,          0.00066667,                 0.2,          0.00050941,          5.0941e-05,               0.128,            0.016855,                   0,            0.095491,            0.000491,            0.000491
                   3,             0.11236,            0.019657,                   0,          0.00066667,                 0.2,          0.00049084,          4.9084e-05,             0.12599,            0.016737,                   0,            0.093681,           0.0006811,           0.0006811
                   4,            0.091928,            0.019228,                   0,          0.00033333,                 0.1,          0.00021198,          2.1198e-05,             0.11844,            0.016484,                   0,            0.091868,           0.0008676,           0.0008676
                   5,              0.1081,            0.018801,                   0,          0.00066667,                 0.2,          0.00042764,          8.0777e-05,             0.10849,            0.016358,                   0,            0.090051,           0.0010505,           0.0010505
                   6,            0.084387,            0.019986,                   0,          0.00066667,                 0.2,          0.00059296,          0.00022632,             0.10169,            0.016235,                   0,             0.08823,           0.0012298,           0.0012298
                   7,            0.086437,            0.019038,                   0,          0.00066667,                 0.2,          0.00053847,          0.00022735,            0.097489,            0.015931,                   0,            0.086406,           0.0014055,           0.0014055
                   8,            0.073648,            0.019174,                   0,               0.001,                 0.3,           0.0014191,          0.00028451,            0.095636,            0.015616,                   0,            0.084578,           0.0015776,           0.0015776
                   9,            0.066431,            0.018397,                   0,           0.0013333,                 0.4,           0.0031338,          0.00065293,            0.094535,            0.015135,                   0,            0.082746,           0.0017461,           0.0017461
                  10,            0.068709,            0.018666,                   0,           0.0013333,                 0.4,           0.0018851,          0.00043397,            0.093097,            0.014735,                   0,            0.080911,            0.001911,            0.001911
                  11,            0.067413,             0.01824,                   0,           0.0013333,                 0.4,           0.0017904,          0.00051935,            0.091376,            0.014445,                   0,            0.079072,           0.0020723,           0.0020723
                  12,            0.055138,            0.017607,                   0,               0.001,                 0.3,           0.0031273,          0.00053229,            0.090909,            0.014079,                   0,             0.07723,             0.00223,             0.00223
                  13,             0.06422,            0.017363,                   0,           0.0013333,                 0.4,           0.0042378,          0.00067248,            0.089326,            0.013789,                   0,            0.075384,           0.0023841,           0.0023841
                  14,            0.057761,             0.01691,                   0,           0.0016667,                 0.5,           0.0016879,          0.00045786,            0.087945,            0.013574,                   0,            0.073535,           0.0025346,           0.0025346
                  15,            0.060092,            0.017775,                   0,           0.0013333,                 0.4,           0.0061197,           0.0011655,            0.086783,            0.013307,                   0,            0.071682,           0.0026815,           0.0026815
                  16,            0.053406,            0.016806,                   0,           0.0016667,                 0.5,           0.0025005,          0.00074558,            0.085801,            0.013255,                   0,            0.069825,           0.0028248,           0.0028248
                  17,             0.04823,            0.015431,                   0,          0.00066667,                 0.2,           0.0024178,          0.00091743,            0.087368,            0.012768,                   0,            0.067965,           0.0029645,           0.0029645
                  18,            0.051751,            0.016879,                   0,           0.0023333,                 0.7,            0.023047,           0.0051556,            0.084823,            0.012821,                   0,            0.066101,           0.0031006,           0.0031006
