               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11055,            0.023368,                   0,          0.00033333,                 0.1,           0.0002068,           2.068e-05,              0.1209,            0.019879,                   0,             0.11497,            9.24e-05,            9.24e-05
                   1,             0.11136,            0.022785,                   0,          0.00066667,                 0.2,           0.0005031,           5.031e-05,             0.11923,            0.020029,                   0,             0.11283,          0.00027466,          0.00027466
                   2,             0.10115,              0.0278,                   0,          0.00066667,                 0.2,          0.00051066,          7.0484e-05,             0.11612,            0.020434,                   0,             0.11069,          0.00045355,          0.00045355
                   3,              0.1082,            0.026953,                   0,          0.00033333,                 0.1,          0.00019342,          1.9342e-05,             0.11291,            0.020849,                   0,             0.10855,          0.00062905,          0.00062905
                   4,             0.10216,            0.026174,                   0,               0.001,                 0.3,            0.002057,          0.00024439,             0.10951,            0.021285,                   0,              0.1064,          0.00080117,          0.00080117
                   5,             0.10632,            0.023892,                   0,               0.001,                 0.3,           0.0019379,          0.00073015,             0.10602,            0.021866,                   0,             0.10425,          0.00096991,          0.00096991
                   6,            0.094619,            0.026546,                   0,           0.0013333,                 0.4,           0.0053101,          0.00089339,             0.10481,            0.021793,                   0,             0.10209,           0.0011353,           0.0011353
                   7,            0.092948,            0.034863,                   0,           0.0016667,                 0.5,           0.0027897,          0.00080678,             0.10331,            0.021666,                   0,            0.099931,           0.0012972,           0.0012972
                   8,            0.093317,            0.029216,                   0,           0.0013333,                 0.4,             0.01033,           0.0025186,            0.099801,            0.022463,                   0,            0.097769,           0.0014558,           0.0014558
                   9,            0.092083,            0.033949,                   0,           0.0023333,                 0.7,             0.01332,           0.0041766,            0.096935,            0.022982,                   0,            0.095603,           0.0016111,           0.0016111
                  10,            0.084419,            0.026596,                   0,           0.0023333,                 0.7,            0.010743,           0.0036196,             0.09281,            0.024035,                   0,            0.093434,           0.0017629,           0.0017629
                  11,            0.087346,            0.032575,                   0,               0.002,                 0.6,           0.0042485,           0.0011127,            0.090642,            0.025042,                   0,            0.091262,           0.0019114,           0.0019114
                  12,            0.077032,            0.028913,                   0,           0.0016667,                 0.5,           0.0017061,          0.00030659,            0.086244,            0.026738,                   0,            0.089086,           0.0020564,           0.0020564
                  13,            0.075619,            0.028362,                   0,           0.0013333,                 0.4,           0.0016307,          0.00039357,            0.084999,             0.02693,                   0,            0.086907,           0.0021981,           0.0021981
                  14,            0.073234,            0.023822,                   0,               0.002,                 0.6,           0.0026609,          0.00059173,            0.085115,            0.026707,                   0,            0.084725,           0.0023364,           0.0023364
                  15,            0.073832,            0.020873,                   0,               0.003,                 0.9,           0.0049341,            0.001111,            0.081376,            0.027387,                   0,            0.082539,           0.0024714,           0.0024714
                  16,            0.067116,            0.037634,                   0,           0.0026667,                 0.8,           0.0034581,          0.00099934,            0.080234,            0.027818,                   0,             0.08035,           0.0026029,           0.0026029
                  17,            0.068247,            0.026393,                   0,               0.003,                 0.9,           0.0074228,           0.0014622,            0.080786,            0.027963,                   0,            0.078157,           0.0027311,           0.0027311
                  18,            0.072128,            0.026355,                   0,               0.003,                 0.9,            0.007236,           0.0016359,            0.081503,            0.027698,                   0,            0.075961,           0.0028559,           0.0028559
                  19,            0.061735,            0.037299,                   0,               0.003,                 0.9,            0.012722,           0.0037584,            0.077009,            0.029535,                   0,            0.073762,           0.0029773,           0.0029773
                  20,            0.061656,            0.041285,                   0,           0.0031367,                 0.9,            0.012955,           0.0035554,            0.076554,            0.029748,                   0,            0.071559,           0.0030953,           0.0030953
                  21,            0.064197,            0.054513,                   0,               0.002,                 0.6,           0.0067772,           0.0013434,            0.082142,            0.028819,                   0,            0.069353,           0.0032099,           0.0032099
                  22,            0.061232,            0.028415,                   0,           0.0059683,                 0.7,            0.011843,           0.0039265,            0.076202,            0.031969,                   0,            0.067143,           0.0033212,           0.0033212
                  23,            0.049512,             0.02771,                   0,           0.0031833,                 0.6,           0.0046177,           0.0012428,            0.078864,            0.032638,                   0,             0.06493,           0.0034291,           0.0034291
                  24,             0.05009,            0.035725,                   0,           0.0068258,                 0.5,            0.011324,           0.0050961,            0.080107,            0.034984,                   0,            0.062714,           0.0035336,           0.0035336
                  25,            0.051012,            0.028602,                   0,           0.0085326,                 0.6,            0.018166,           0.0049799,            0.068836,            0.038782,                   0,            0.060494,           0.0036347,           0.0036347
                  26,            0.055621,            0.040014,                   0,            0.008176,                 0.6,            0.019652,           0.0044076,            0.069421,            0.038377,                   0,            0.058271,           0.0037325,           0.0037325
                  27,            0.056109,            0.040222,                   0,           0.0063891,                 0.5,            0.010573,           0.0035595,            0.084077,            0.036219,                   0,            0.056045,           0.0038268,           0.0038268
                  28,            0.049291,            0.033387,                   0,            0.010827,                 0.4,            0.022186,           0.0056168,            0.072635,            0.039861,                   0,            0.053815,           0.0039178,           0.0039178
                  29,            0.051327,            0.031902,                   0,            0.014573,                 0.4,            0.036681,           0.0082891,            0.077884,            0.040494,                   0,            0.051582,           0.0040054,           0.0040054
                  30,            0.050838,            0.033274,                   0,            0.013971,                 0.5,            0.021409,              0.0064,            0.072277,            0.042539,                   0,            0.049345,           0.0040896,           0.0040896
                  31,            0.044699,            0.027465,                   0,            0.022959,                 0.2,            0.025287,            0.009277,             0.07571,            0.041433,                   0,            0.047105,           0.0041704,           0.0041704
                  32,            0.044402,            0.028948,                   0,            0.028721,                 0.4,            0.031389,           0.0094806,            0.071908,            0.044178,                   0,            0.044862,           0.0042479,           0.0042479
                  33,            0.047574,            0.035072,                   0,             0.12275,                 0.1,            0.070662,            0.027931,            0.071826,            0.042098,                   0,            0.042615,            0.004322,            0.004322
                  34,            0.045674,            0.031053,                   0,            0.078692,                 0.1,            0.038762,             0.01195,            0.074807,            0.042502,                   0,            0.040365,           0.0043927,           0.0043927
                  35,            0.053837,            0.022572,                   0,             0.24776,                 0.1,             0.13397,            0.064698,            0.067984,            0.042954,                   0,            0.038112,             0.00446,             0.00446
                  36,            0.053148,            0.025916,                   0,             0.40399,                 0.1,             0.12515,            0.059851,            0.070753,             0.04147,                   0,            0.035855,           0.0045239,           0.0045239
                  37,            0.051398,            0.023283,                   0,             0.80129,                 0.1,             0.12405,            0.058188,             0.06724,              0.0375,                   0,            0.033594,           0.0045845,           0.0045845
                  38,            0.043428,            0.026668,                   0,             0.40335,                 0.1,            0.087708,            0.028398,            0.067986,            0.035591,                   0,            0.031331,           0.0046416,           0.0046416
                  39,            0.042443,            0.024004,                   0,             0.81954,                 0.1,             0.13452,            0.026223,            0.067384,            0.032555,                   0,            0.029064,           0.0046954,           0.0046954
                  40,            0.039325,            0.023346,                   0,             0.71389,                 0.1,             0.14281,            0.028562,            0.065661,             0.03105,                   0,            0.026793,           0.0047458,           0.0047458
                  41,            0.045497,            0.031232,                   0,             0.24043,                 0.2,             0.15556,            0.047945,            0.070287,            0.028767,                   0,             0.02452,           0.0047929,           0.0047929
                  42,            0.038562,            0.023533,                   0,             0.19552,                 0.2,             0.12276,            0.049679,            0.066671,            0.028077,                   0,            0.022242,           0.0048365,           0.0048365
                  43,            0.045741,             0.03019,                   0,             0.21008,                 0.2,             0.15708,            0.070951,            0.065311,            0.028259,                   0,            0.019962,           0.0048768,           0.0048768
                  44,            0.055584,            0.025348,                   0,             0.70554,                 0.1,             0.14344,              0.0646,            0.068765,            0.026178,                   0,            0.017678,           0.0049136,           0.0049136
                  45,            0.041288,              0.0268,                   0,             0.80543,                 0.1,             0.17593,            0.073403,            0.061683,            0.027221,                   0,            0.015391,           0.0049471,           0.0049471
                  46,            0.046432,            0.035305,                   0,              0.8348,                 0.1,             0.16806,            0.054101,            0.070691,            0.024824,                   0,              0.0131,           0.0049773,           0.0049773
                  47,             0.04336,            0.030655,                   0,             0.82024,                 0.1,             0.16663,            0.052069,            0.060645,             0.02665,                   0,            0.010806,            0.005004,            0.005004
                  48,            0.043932,            0.020594,                   0,             0.83948,                 0.1,              0.1737,            0.071535,            0.065466,             0.02513,                   0,           0.0085086,           0.0050274,           0.0050274
                  49,             0.05374,            0.026407,                   0,              0.6016,                 0.2,             0.21989,            0.071933,            0.059007,            0.026417,                   0,           0.0062077,           0.0050473,           0.0050473
                  50,            0.044858,            0.023508,                   0,             0.49183,                 0.2,             0.22313,            0.045139,             0.06767,            0.024279,                   0,           0.0050138,           0.0050138,           0.0050138
                  51,            0.048642,            0.017977,                   0,              0.2814,                 0.2,             0.22571,             0.15739,            0.055231,            0.027309,                   0,           0.0050138,           0.0050138,           0.0050138
                  52,            0.040014,            0.021511,                   0,             0.66364,             0.19818,             0.18447,            0.039983,            0.064614,            0.025301,                   0,           0.0049293,           0.0049293,           0.0049293
                  53,            0.046294,            0.022465,                   0,             0.94693,                 0.2,             0.25493,            0.077784,            0.061258,            0.026043,                   0,           0.0048448,           0.0048448,           0.0048448
                  54,            0.046579,            0.019672,                   0,             0.74309,                 0.2,             0.27956,             0.18039,            0.055345,            0.027091,                   0,           0.0047602,           0.0047602,           0.0047602
                  55,            0.038874,            0.020415,                   0,             0.81692,                 0.2,              0.2832,             0.07815,            0.060917,            0.026188,                   0,           0.0046757,           0.0046757,           0.0046757
                  56,            0.038734,            0.025947,                   0,             0.71463,                 0.2,             0.25574,             0.11183,             0.05691,             0.02677,                   0,           0.0045912,           0.0045912,           0.0045912
                  57,            0.038549,            0.021954,                   0,             0.61237,                 0.2,             0.26697,             0.11404,            0.063093,            0.025472,                   0,           0.0045067,           0.0045067,           0.0045067
                  58,            0.036178,            0.014289,                   0,              0.4588,                 0.2,             0.27433,             0.13755,            0.057753,            0.026074,                   0,           0.0044221,           0.0044221,           0.0044221
                  59,            0.051629,            0.018754,                   0,             0.62883,                 0.2,             0.27481,            0.091153,            0.065222,            0.024435,                   0,           0.0043376,           0.0043376,           0.0043376
                  60,            0.037978,            0.020271,                   0,              0.6958,                 0.2,             0.30049,             0.20674,            0.055097,            0.025545,                   0,           0.0042531,           0.0042531,           0.0042531
                  61,            0.034396,            0.016229,                   0,             0.39874,                 0.2,             0.25496,            0.083333,            0.061198,              0.0243,                   0,           0.0041686,           0.0041686,           0.0041686
                  62,            0.035508,            0.016344,                   0,              0.3797,                 0.2,             0.25323,             0.13785,            0.057315,             0.02471,                   0,            0.004084,            0.004084,            0.004084
                  63,            0.032013,            0.012701,                   0,             0.42488,                 0.3,             0.31807,             0.18515,            0.059444,            0.023973,                   0,           0.0039995,           0.0039995,           0.0039995
                  64,            0.046992,            0.023099,                   0,             0.39639,                 0.2,             0.24003,             0.10903,             0.06012,            0.024486,                   0,            0.003915,            0.003915,            0.003915
                  65,            0.038784,            0.017939,                   0,             0.41628,                 0.2,             0.23424,            0.086898,            0.061827,            0.024248,                   0,           0.0038305,           0.0038305,           0.0038305
                  66,            0.071274,            0.014031,                   0,             0.29883,                 0.6,             0.28296,             0.15795,            0.060277,            0.023776,                   0,            0.003746,            0.003746,            0.003746
                  67,            0.034336,            0.021821,                   0,             0.18533,                 0.6,             0.19407,            0.088609,            0.056644,            0.024113,                   0,           0.0036614,           0.0036614,           0.0036614
                  68,            0.034459,            0.016683,                   0,             0.22139,                 0.2,             0.15735,            0.068554,            0.061734,            0.023226,                   0,           0.0035769,           0.0035769,           0.0035769
