               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11062,             0.02285,                   0,          0.00066667,                 0.2,           0.0005255,           5.255e-05,             0.12119,            0.019744,                   0,             0.11497,            9.24e-05,            9.24e-05
                   1,             0.11311,            0.024907,                   0,          0.00033333,                 0.1,          0.00029096,          2.9096e-05,             0.11935,            0.019959,                   0,             0.11284,          0.00027635,          0.00027635
                   2,             0.11325,            0.024763,                   0,          0.00066667,                 0.2,          0.00050156,          0.00010995,              0.1171,            0.020099,                   0,              0.1107,          0.00045918,          0.00045918
                   3,             0.10837,            0.027556,                   0,          0.00066667,                 0.2,          0.00052687,          9.6577e-05,             0.11464,            0.020213,                   0,             0.10856,          0.00064088,          0.00064088
                   4,            0.097274,            0.028021,                   0,          0.00033333,                 0.1,          0.00031241,          3.1241e-05,             0.11222,            0.020302,                   0,             0.10642,          0.00082146,          0.00082146
                   5,            0.099312,            0.030455,                   0,          0.00033333,                 0.1,           0.0002113,          6.3391e-05,             0.11086,             0.02018,                   0,             0.10428,           0.0010009,           0.0010009
                   6,            0.094838,            0.022042,                   0,           0.0013333,                 0.4,           0.0035045,           0.0004351,             0.10885,            0.020252,                   0,             0.10213,           0.0011792,           0.0011792
                   7,            0.095717,            0.025898,                   0,           0.0013333,                 0.4,            0.001818,          0.00024308,             0.10594,            0.020782,                   0,             0.09999,           0.0013564,           0.0013564
                   8,            0.092877,            0.030879,                   0,               0.002,                 0.6,           0.0071091,            0.001231,             0.10134,            0.021944,                   0,            0.097846,           0.0015325,           0.0015325
                   9,            0.086415,            0.025694,                   0,               0.002,                 0.6,           0.0076867,           0.0022958,            0.094958,             0.02377,                   0,              0.0957,           0.0017074,           0.0017074
                  10,            0.090805,            0.029309,                   0,           0.0023333,                 0.7,           0.0054497,           0.0014117,            0.089771,            0.025234,                   0,            0.093553,           0.0018812,           0.0018812
                  11,            0.081765,            0.027475,                   0,               0.002,                 0.6,           0.0034676,           0.0010248,            0.087037,            0.026074,                   0,            0.091405,           0.0020539,           0.0020539
                  12,            0.085113,            0.031568,                   0,               0.002,                 0.6,           0.0065789,           0.0011587,            0.086468,            0.026048,                   0,            0.089255,           0.0022255,           0.0022255
                  13,            0.077008,            0.028225,                   0,               0.002,                 0.6,            0.007639,           0.0015361,             0.08441,             0.02691,                   0,            0.087105,           0.0023959,           0.0023959
                  14,            0.070347,            0.029686,                   0,           0.0026667,                 0.8,           0.0058051,           0.0015535,            0.081396,            0.027942,                   0,            0.084954,           0.0025652,           0.0025652
                  15,            0.061957,            0.045848,                   0,           0.0026667,                 0.8,           0.0051729,           0.0017918,            0.079283,            0.028622,                   0,            0.082801,           0.0027334,           0.0027334
                  16,            0.070866,            0.034807,                   0,               0.003,                 0.9,           0.0079914,           0.0021331,            0.076586,             0.02981,                   0,            0.080647,           0.0029004,           0.0029004
                  17,            0.059973,            0.031398,                   0,               0.003,                 0.9,           0.0093013,           0.0024355,            0.077578,            0.029369,                   0,            0.078492,           0.0030664,           0.0030664
                  18,            0.057455,            0.028378,                   0,           0.0029263,                 0.8,            0.004177,           0.0013847,            0.083976,            0.027646,                   0,            0.076336,           0.0032312,           0.0032312
                  19,            0.069089,            0.026899,                   0,           0.0038669,                 0.6,            0.010208,           0.0023656,            0.080152,            0.029328,                   0,            0.074179,           0.0033948,           0.0033948
                  20,            0.068074,            0.028556,                   0,           0.0025937,                 0.7,           0.0032786,          0.00097999,            0.086013,            0.029006,                   0,            0.072021,           0.0035574,           0.0035574
